"NewsCode-URI","NewsCode-QCode (flat)","Level 1/NewsCode","Level 2/NewsCode","Level 3/NewsCode","Level 4/NewsCode","Level 5/NewsCode","Name (en-GB)","Definition (en-GB)","Name (fr)","Definition (fr)","Name (es)","Definition (es)","Name (de)","Definition (de)","Name (it)","Definition (it)","Name (jp)","Definition (jp)"
"http://cv.iptc.org/newscodes/subjectcode/01009000","subj:01009000",,"subj:01009000",,,,"library and museum","Edifices used to house collections of books, music, art, or objects from the past and present for public use and display ","Bibliothèque et musée","Bâtiments ouverts au public pour la consultation de livres et de disques ou l'exposition de collections d'objets d'arts ","bibliotecas y museos","Edificios utilizados para albergar colecciones de libros, música, arte u objetos del pasado y presente para su exhibición pública. ","Bibliothek und Museum","Gebäude, die Sammlungen von Büchern, Musik, Kunst oder Objekte aus Vergangenheit und Gegenwart, zur öffentlichen Nutzung und Ansicht bereitstellen.","Biblioteche, musei","Collezioni di libri, musica, arte, o oggetti del passato e del presente per fruizione da parte del pubblico o per esposizione. ","図書館・博物館","公共の使用や展示を目的とする、過去から現代までの本、音楽、芸術、あるいはオブジェクトの収集を収容するために使われる建造物 "
"http://cv.iptc.org/newscodes/subjectcode/01010000","subj:01010000",,"subj:01010000",,,,"literature","The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public ","Littérature","Ensemble des œuvres écrites ","literatura","El uso de panfletos, libros u otro material impreso para comunicar ideas, historias u otros mensajes al público. ","Literatur","Die Nutzung von Broschüren, Büchern oder anderen Printmedien, um Ideen, Geschichten oder andere Botschaften in der Öffentlichkeit zu verbreiten. ","Letteratura","Opuscoli, libri o altro materiale stampato per comunicare al pubblico idee, storie o altri messaggi. ","文学","思想、物語あるいはその他のメッセージを大衆に伝えるためのパンフレット、本あるいはその他の印刷物の使用 "
"http://cv.iptc.org/newscodes/subjectcode/01010001","subj:01010001",,,"subj:01010001",,,"fiction","Structured stories that are usually not based on fact but are the creation of the authors imagination ","Fiction","Tout ce qui relève de l'imaginaire ","ficción","Historias Estructuradas que generalmente no se basan en un hecho, sino en la imaginación de los autores. ","Fiktion","Strukturierte Geschichten, die meist der Fantasie des Autors entspringen und nicht auf Fakten beruhen. ","Narrativa","Racconto in forma di prosa di storie strutturate che generalmente non si basano su fatti reali e che sono frutto dell'immaginazione degli autori; romanzi, racconti, novelle ","フィクション","通常は事実に基づいておらず、著者の想像で創作された物語 "
"http://cv.iptc.org/newscodes/subjectcode/01010002","subj:01010002",,,"subj:01010002",,,"poetry","The art, structure, forms of poetic expression ","Poésie","Art, structure et formes de l'expresion poétique ","poesía","El arte, estructuras, y formas de expresón poética. ","Poesie","Kunst, Struktur und Formen des poetischen Ausdrucks. ","Poesia","Arte, struttura e forme dell'espressione poetica ","詩","芸術、構成、詩的な表現の形式 "
"http://cv.iptc.org/newscodes/subjectcode/01011000","subj:01011000",,"subj:01011000",,,,"music","Expressing emotion or message through instruments or voice using different sounds, tones, harmonies and the like ","Musique","Art de combiner les sons au moyen d'instruments ou de la voix ","música","Expresar emociones o mensajes a través de instrumentos o voz usando diferentes sonidos, tonos y harmonías smiliares. ","Musik","Ausdruck von Gefühlen oder Botschaften durch Instrumente oder Stimmen, die unterschiedliche Klänge, Töne, Harmonien und ähnliches erzeugen.","Musica","Espressione di un'emozione o di un messaggio attraverso l'uso di strumenti e/o della voce per mezzo di differenti suoni, toni, armonie ","音楽","異なる音量、音質、調和などを使い、楽器又は音声を通じて感情やメッセージを表現すること "
"http://cv.iptc.org/newscodes/subjectcode/01011001","subj:01011001",,,"subj:01011001",,,"classical music","Music that follows classic structures of rhythm and harmony ","Musique classique","Musique qui suit des structures classiques de rythme et d'harmonie ","música clásica","Música que sigue estructuras clásicas de ritmo y armonía ","Klassik","Musik, die klassischen Rhythmus- und Harmoniestrukturen folgt. ","Classica","Genere musicale che segue strutture classiche di ritmo e armonia, musica colta europea sviluppatasi fino al XIX secolo ","クラシック","古典的なリズムとハーモニーで構成された音楽 "
"http://cv.iptc.org/newscodes/subjectcode/01011002","subj:01011002",,,"subj:01011002",,,"folk music","Music that developed from folk cultures, often based on story-telling ","Folk","Genre musical issu de la culture populaire ","música folclórica","Música desarrollada de culturas folclóricas, que a menudo de basan en historias ","Folk","Musik, die sich aus folkloristischen Kulturen entwickelt, oft erzählend. ","Folk","Genere musicale sviluppato dalle culture popolari, e che trova le sue radici nelle tradizioni di un popolo o di una particolare zona geografica ","フォーク","民族文化から発生した音楽で、伝承物語から派生したものもある "
"http://cv.iptc.org/newscodes/subjectcode/01011003","subj:01011003",,,"subj:01011003",,,"jazz music","A music of diverse harmonics, often improvised ","Jazz","Genre musical mêlant harmonies occidentales et traditions noires américaines, souvent improvisé ","música jazz","Música de diversas armonías ","Jazz","Musik aus ungleichen Harmonien, oft improvisiert. ","Jazz","Genere musicale caratterizzato da armonie diverse, spesso improvvisate, nato fra fine ‘800 e primo ‘900 nel sud degli Usa ","ジャス","しばしば即興で作られる、多様なハーモニーの音楽 "
"http://cv.iptc.org/newscodes/subjectcode/01011004","subj:01011004",,,"subj:01011004",,,"popular music","The latest fad in music, generally aimed at the younger generation ","Pop","La dernière mode musicale, généralement destinée aux jeunes ","música popular","La ultima moda en música generalmente dirigida a la juventud ","Pop","Der neuste Trend in der Musik, meist für die jüngere Generation. ","Pop","Genere musicale in cui rientrano in particolare le ultime novità discografiche, in contrapposizione ad altri generi considerati colti, destinato soprattutto alle giovani generazioni ","ポピュラー","一般に、若い世代向けの、最新の流行音楽 "
"http://cv.iptc.org/newscodes/subjectcode/01011005","subj:01011005",,,"subj:01011005",,,"country music","Similar to folk but is unique to the United States and is less about story telling than about loves sought and lost ","Country","Musique populaire spécifique aux USA ","música country","Parecidas al Música Fol., pero es única de Estados Unidos, y no habla tanto de buscar y perder amor ","Country","Vergleichbar mit Folk, weniger erzählend, handelt eher von der Suche nach Liebe und deren Verlust und kommt ausschließlich aus den USA. ","Country","Genere musicale tipico degli Usa, con caratterizzazione analoga al Folk e con la presenza di forme musicali della tradizione americana come la ballata ","カントリー","フォークに類似しているが、米国特有なもので、物語よりはむしろ求愛や失恋についての音楽 "
